provinvceName,provinceCode,countryCode
Arunachal Pradesh,AR,IN
Assam,AS,IN
Bihar,BR,IN
Chhattisgarh,CG,IN
Goa,GA,IN
Gujarat,GJ,IN
Haryana,HR,IN
Himachal Pradesh,HP,IN
Jammu and Kashmir,JK,IN
Jharkhand,JH,IN
Karnataka,KA,IN
Kerala,KL,IN
Madhya Pradesh,MP,IN
Maharashtra,MH,IN
Manipur,MN,IN
Meghalaya,ML,IN
Mizoram,MZ,IN
Nagaland,NL,IN
Orissa,OR,IN
Punjab,PB,IN
Rajasthan,RJ,IN
Sikkim,SK,IN
Tamil Nadu,TN,IN
Tripura,TR,IN
Uttarakhand,UK,IN
Uttar Pradesh,UP,IN
West Bengal,WB,IN
Tamil Nadu,TN,IN
Tripura,TR,IN
Andaman and Nicobar Islands,AN,IN
Chandigarh,CH,IN
Dadra and Nagar Haveli,DH,IN
Daman and Diu,DD,IN
Delhi,DL,IN
Lakshadweep,LD,IN
Pondicherry,PY,IN
